8,2,6
77,66,3
20,10,4
40,39,4
120,126,4
15,2,5
77,98,3
34,14,7
28,12,4
12,0,5
63,108,2
113,84,6
38,14,6
107,65,7
17,6,1
37,18,7
10,4,3
71,30,5
81,60,3
34,27,5
45,31,5
4,1,7
11,2,6
16,6,7
36,43,2
7,0,4
64,53,4
42,40,3
31,16,3
274,150,7
86,75,5
62,48,5
27,21,6
15,6,8
227,195,5
22,10,7
20,9,4
55,49,3
11,4,4
50,33,6
55,61,3
44,40,5
23,9,4
123,149,2
21,17,2
51,30,7
109,71,6
29,7,5
15,7,4
14,4,7
112,127,2
76,84,4
8,4,1
51,40,7
126,125,6
15,5,4
11,2,6
37,30,3
19,6,5
130,142,2
27,48,3
32,30,5
21,2,8
76,77,3
95,43,5
82,64,5
23,4,5
11,1,2
57,41,5
8,7,5
11,5,3
9,15,5
19,17,2
42,43,4
40,38,5
53,49,4
42,36,4
4,3,5
11,5,5
59,44,6
24,19,6
23,9,7
47,36,6
42,15,5
10,1,5
77,62,6
87,81,7
38,23,3
44,45,2
45,30,5
39,36,5
16,10,4
11,1,5
59,24,5
14,3,5
36,28,5
12,31,3
17,11,3
385,256,6
21,22,4
19,7,7
43,62,4
18,2,7
91,97,3
54,57,4
88,68,3
47,42,5
29,26,4
30,24,5
28,24,3
20,6,1
34,30,4
11,0,1
63,17,4
17,13,1
19,5,4
62,30,8
23,14,5
86,74,6
26,39,5
33,14,5
2,0,5
10,3,5
12,6,5
88,74,3
32,38,5
6,1,6
7,0,5
90,105,7
34,29,5
87,76,4
17,11,4
83,74,4
40,15,5
36,17,7
19,8,6
88,68,6
9,7,3
26,24,6
62,52,8
10,3,4
27,34,3
80,52,5
32,32,6
10,2,4
22,25,3
18,8,5
296,219,2
46,18,7
16,1,6
12,2,4
77,70,4
162,145,7
11,5,3
61,48,5
44,32,3
41,33,7
23,22,4
5,1,5
9,2,2
34,27,2
25,24,5
19,5,6
65,58,5
30,63,3
14,7,6
61,70,4
7,4,6
29,4,7
64,42,6
75,40,8
82,62,3
11,6,6
277,146,5
66,71,3
37,19,6
41,29,3
15,10,7
164,103,9
55,50,4
20,1,4
26,12,7
20,0,4
14,7,5
5,0,4
59,60,2
7,3,6
16,6,1
63,33,6
40,53,2
89,99,2
35,25,3
46,49,4
31,46,4
16,1,2
51,12,7
10,0,3
22,21,5
80,40,8
17,19,3
65,102,3
11,6,5
28,24,7
28,17,5
38,52,3
38,36,2
26,22,7
17,8,6
9,1,4
36,31,5
54,35,3
12,3,4
5,3,2
21,9,7
24,20,5
9,10,5
53,62,7
22,9,7
3,0,4
0,0,3
0,0,1
27,23,1
34,65,3
173,106,5
54,28,5
48,60,4
41,42,4
5,0,2
53,26,3
6,9,2
44,35,5
31,20,3
9,2,4
21,12,6
23,17,5
20,22,4
8,14,2
12,22,4
1,1,5
5,2,2
43,44,5
31,12,7
21,20,3
39,16,7
24,2,4
48,80,3
12,11,3
129,90,7
49,62,3
45,60,3
11,7,5
43,33,2
58,37,6
69,24,6
43,20,7
29,31,5
31,24,3
22,11,5
22,7,6
177,189,5
12,2,9
42,41,2
24,28,3
3,2,5
41,34,5
5,3,4
111,135,2
42,8,4
31,21,4
2,1,1
39,23,4
18,23,4
85,95,5
58,35,5
39,35,3
31,20,4
22,19,2
94,62,6
3,3,0
0,0,0
0,0,0
2,3,2
0,0,0
2,6,0
2,4,0
0,0,0
4,15,0
0,0,0
6,12,2
1,1,0
0,2,0
0,1,0
0,3,0
1,1,2
9,9,0
0,0,2
2,3,0
1,0,0
2,0,2
0,0,0
1,2,0
2,5,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
1,0,0
0,2,0
0,0,0
1,1,4
3,2,4
0,1,0
0,2,0
0,1,1
2,13,0
0,2,0
0,1,0
1,1,3
4,4,4
1,0,4
1,3,0
0,0,0
1,2,0
0,0,1
0,0,1
0,0,0
2,3,0
0,0,4
17,18,4
2,0,2
3,7,0
0,0,0
0,0,0
0,2,3
0,0,0
11,9,3
0,0,3
8,17,0
0,0,0
1,4,0
1,1,0
1,1,0
1,1,1
2,6,0
0,1,0
0,2,0
0,0,3
14,8,5
0,0,0
1,3,0
1,1,2
0,0,0
4,2,0
0,0,2
1,2,0
4,5,0
0,0,0
0,0,2
9,7,3
2,1,4
3,4,4
3,3,2
6,8,0
0,2,0
2,1,3
0,1,0
0,2,0
2,2,4
1,1,2
0,1,0
0,0,0
0,0,0
0,0,0
12,16,1
5,2,4
1,1,0
